Fecha;Cum;Cambios
"2025-03-19 19:30:19";"64094-1";" Registo_Invima a INVIMA 2017MB- 005032-R2,"
"2025-03-19 19:30:19";"64092-1";"Fecha Vencimiento Invima a 3000-01-01, Registo_Invima a INVIMA 2018MB-006885-R2,"
"2025-03-19 19:30:24";"60042-1";" Estado a Inactivo, Estado Registro Invima a Perdida Fuerza Ejec,Fecha Vencimiento Invima a 2030-02-21,"
"2025-03-19 19:30:34";"58931-1";" Estado Registro Invima a Temp. no comerc - Vigente,"
"2025-03-19 19:30:34";"58930-1";" Estado a Inactivo, Estado Registro Invima a Vigente,Fecha Vencimiento Invima a 3000-01-01,"
"2025-03-19 19:30:34";"58930-2";" Estado Registro Invima a Vigente,Fecha Vencimiento Invima a 3000-01-01,"
"2025-03-19 19:30:51";"57641-1";" Estado Registro Invima a Perdida Fuerza Ejec,Fecha Vencimiento Invima a 2030-03-18,"
"2025-03-19 19:30:51";"57641-2";" Estado Registro Invima a Perdida Fuerza Ejec,Fecha Vencimiento Invima a 2030-03-18,"
"2025-03-19 19:31:01";"55598-1";" Estado a Inactivo, Estado Registro Invima a Perdida Fuerza Ejec,Fecha Vencimiento Invima a 2030-02-05,"
"2025-03-19 19:31:01";"55598-2";" Estado a Inactivo, Estado Registro Invima a Perdida Fuerza Ejec,Fecha Vencimiento Invima a 2030-02-05,"
"2025-03-19 19:31:18";"54072-1";" Estado Registro Invima a Perdida Fuerza Ejec,Fecha Vencimiento Invima a 2030-03-18,"
"2025-03-19 19:31:20";"53896-5";"Fecha Vencimiento Invima a 2025-02-03,"
"2025-03-19 19:31:20";"53896-6";"Fecha Vencimiento Invima a 2025-02-03,"
"2025-03-19 19:31:20";"53896-7";"Fecha Vencimiento Invima a 2025-02-03,"
"2025-03-19 19:31:20";"53896-8";"Fecha Vencimiento Invima a 2025-02-03,"
"2025-03-19 19:31:22";"53704-7";"Fecha Vencimiento Invima a 3000-01-01,"
"2025-03-19 19:31:23";"53512-1";" Estado Registro Invima a Temp. no comerc - Vigente,"
"2025-03-19 19:31:24";"53475-1";" Nombre Comercial a ALLESPRAY. ,"
"2025-03-19 19:31:36";"52703-17";" Estado a Inactivo, Estado Registro Invima a Perdida Fuerza Ejec,Fecha Vencimiento Invima a 2030-02-05,"
"2025-03-19 19:31:48";"52221-3";" Estado a Inactivo, Estado Registro Invima a Negado,"
"2025-03-19 19:31:48";"52221-4";" Estado a Inactivo, Estado Registro Invima a Negado,"
"2025-03-19 19:31:50";"52015-1";" Estado a Inactivo, Estado Registro Invima a Perdida Fuerza Ejec,Fecha Vencimiento Invima a 2030-02-21,"
